Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 680.-,State Zurich (City),Address Paul-Feyerabend-Hof,City 8049 Zürich,"The room is located on the first floor. It is about 13m ^ 2, included is a desk, chair, bed, bookshelf and a closet. Additionally, there is a free wifi. Our room has a very large living room with a kitchen. The kitchen is equipped with two refrigerators, microwave, dishwasher, oven, coffee machine, toaster and a stove. You have an unlimited access to washing machines and driers located in the basement at any given time.  The picture is an example of a fully furnished room and the view you would have.  Surroundings: The flat is located on the campus ETH Hönggerberg and a 2 min bus ride or 10 minute walk away from Höngg Center (Meierhofplatz). You can find everything you need including Migros, Coop, Denner, Pharmacies, Post Office, etc. There is also a small coop on the campus itself (1 min walk). Transportation: The ETH Link connecting Hönggerberg and the center by a free of charge bus (15min ride) is also merely a 2 min walk away, as well as the bus numbers 80 and 69.  Official Homepage of Student Village: http://studentvillage.ch/",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--680-zurich-stadt/pictureLarge/roomPicture.png,"We are an international mixture of ETH students form Switzerland, Germany, Austria and Italy. We are three girls and five guys between the ages of 19-24.","We are looking for an open minded, ambitious, easy going character. You have to be at the university in Zurich and should be fluent in english, even though we are currently a german speaking.  We are looking forward to your application.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--680-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 825.-,State Zurich (City),Address Schachenmatten,City 8906 Bonstetten-Wettswil,"The room is medium sized, unfurled or furnished according to the light","2 young men (20,22 years old), working, sociable","You should be between 20 - 30 years old, working or student, calm, tidy. Entry possibility: from now or after arrangement,  In the apartment you can use the following: - 2 bathrooms - 2 balconies - 1 kitchen with dishwasher - 1 living room  Collection from now or by appointment.  If you are interested, we would be pleased to hear from you.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--1000-zurich-stadt0.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 765.-,State Zurich (City),Address Birchstrasse 408,City 8052 Zürich,"The room isZimmer in 3er-WG on the 3rd floor, approx. 17m2, quiet, large window front with a view on green area. Rent incl. Additional costs and internet. Large, well equipped kitchen with spacious living room. Shower / WC for shared use.",Two chemicochemists at the ETH (25 and 26).,"Resident, ordinary roommate, usually student or doctoral student.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--765-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 630.-,State Zurich (City),Address Hardstrasse 39,City 8004 Zürich,"The room isca 15m2 and bright. Furthermore, the apartment has a large living room, kitchen, dining area, bathroom and a balcony",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt/pictureLarge3/roomPicture3.png,"a cool guy, 26, graduate studies and traveling.",A roommate (s) who is cool on it and especially meets Juwo criteria.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--630-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 980.-,State Zurich (City),Address Richtiring 20,City 8304 Wallisellen,"The room is part of a large 4.5-room apartment (123m2) built in 2014. The apartment is located on the 4th floor and is characterized by its modern finish (Minergie), a spacious living area, 2 separate bathrooms (including washing machine / tumbler) and a huge balcony (32m2). The room itself is 16m2 and has direct access to the balcony.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt/pictureLarge3/roomPicture3.png,"2 ""guys"" 31 and 29 years old, both professional and versatile interested. We are active, often on the road, but also like to throw the barbecue together.","A hired, humorous and trustworthy roommate, since the previous sub-tenant leaves the flat on 01.10.2017.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--980-zurich-stadt.html
Starting from 20.9.2017,Until No time restrictions,Monthly rent sFr. 1'000.-,State Zurich (City),Address Im Isengrind 11,City 8046 Zurich,The room is furnished in a flat area on 9. flour. Rental is CHF1000 incl. All excl. TV.,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/3-9-2017--1000-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/3-9-2017--1000-zurich-stadt/pictureLarge3/roomPicture3.png,young students.,nice person,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/3-9-2017--1000-zurich-stadt.html
Starting from 16.10.2017,Until No time restrictions,Monthly rent sFr. 720.-,State Zurich (City),Address Altwiesenstr. 386,City 8051 Zürich,"The room is on the upper floor of a JUWO family house and quite spacious (20+ m2). In the house there is a cozy living room, a garden with barbecue and small paddling pool in nice weather, as well as a sauna for rainy days.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/16-10-2017-dezember-2018-720-zurich-stadt/pictureLarge/roomPicture.png,"four students (3x environmental science, 1x environmental engineer, between 23 and 26 years old). We live in our flat very family, i. we share all the food, cook only one time per evening for all who are there or even drink a beer / wine at a game.","...you! Best of all, you are between 18 and 30 years old, have an open-minded personality, and are motivated to participate in shared living. The house is from the JUWO, so please inquire about their criteria. If you should apply, write us a few sentences about you!",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/16-10-2017-dezember-2018-720-zurich-stadt.html
Starting from 7.10.2017,Until No time restrictions,Monthly rent sFr. 600.-,State Zurich (City),Address Neunbrunnenstrasse 186,City 8046 Zuerich,The room is16 square meters of shining paradise on parquet. Large windows with afternoon / evening sun and view of the well-kept settlement area. A separate entrance to the large balcony with a view of the green expanses of Seebach makes the room a gem of the shared flat.,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/7-10-2017--600-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/7-10-2017--600-zurich-stadt/pictureLarge3/roomPicture3.png,"Kim (Biologiestudentin, 24), Flavienne (Human Medicine Doctor, 22) and Simon (Bauingenieurstudent, 24), all relatively busy with sports, secondary job and study. Nevertheless, it is enough for regular evenings with collective cooking, eating or playing.",Are you open and ready to enter? You are young and curious? You are looking?  Then send us a short literary as well as photographic description of your best Dus.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/7-10-2017--600-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 1'490.-,State Zurich (City),Address Brüderhofweg 31,City 8057 Zürich,"The room isSchöne und Zentrale 1.5 room apartment available from 01.10.2017-31.01.2018 am Milchbuck Security deposit 1 monthly rent! Perfect single apartment for rent to someone in 10 minutes: - in Oerlikon - at the ETH - at the Hardbrücke and in 12-14 minutes: - at the station Stettbach and at the HB would like to (with public transport).  In 5 minutes you can reach the stop ""Milchbuck"" by tram lines 7/9/10/14 direction Wollishofen / City / Zurich HB, Uni, Triemli and in the other direction to Stettbach, Seebach, Zurich Airport and Hirzenbach as well as bus lines 69 / 72/83. Also within 5 minutes walk is the bus stop Bucheggplatz with direct connections direction Hardbrücke, Limmatplatz and Oerlikon  Shopping possibilities are also within walking distance (Coop Guggachstrasse / Denner Bucheggplatz / Migrolino / Kiosk), as well as a post office, pharmacy, various restaurants and delivery services / Takeaway's.  By car you are in two minutes on the highway (in all directions).  The apartment has:  - a new kitchen - a large balcony (in summer 9 hours sun) - Installation restrictions in the entrance area - a bathroom with bathtub  In addition, the apartment has a bed 140x200 (excluding slatted floor and mattress) and a large PAX wardrobe.  Pets are allowed by arrangement with the administration and there is the possibility to rent an outside or underground car park.  The pictures are from the apartment above me (2nd floor), which has exactly the same floor plan.  Apartment will be available from 01.10.2017",I will take off 30.09 ;-),I am looking for someone who is urgently looking for an apartment and would like to stay in a central (but quiet) place until January 2018,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-31-01-2018-1490-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 1'450.-,State Zurich (City),Address Förrlibuckstrasse 225,City 8005 Zürich,"The room isA modern room (14m2) with en-suite bathroom (7m2) on its own floor, which only you use. The apartment is a spacious (160m2) 5.5-room apartment with two balconies in a new building (2017). The apartment has a modern kitchen plus washer and dryer. Here is the ground plan: http://223.hardturmpark.ch/files/225_01_500.pdf?v=3",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1450-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1450-zurich-stadt0/pictureLarge3/roomPicture3.png,"Ines (24), Aline (24) and Sophia (22), (more or less) have arrived in their professional life. We have been living together for two years and moved into a new, larger apartment in April. We are open-minded, sociable, cook together and drink a few bottles of wine. We have two large loggias (21m2 and 13m2), which we regularly use on weekends for balcony aperos with our friends.","You (m / f), 20-30 years old. You are a sociable (more or less) ordinary person and would like to participate in our flat share living. You should not mind if we have a few guests from time to time.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1450-zurich-stadt0.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 1'330.-,State Zurich (City),Address Hardstr. 100,City 8004 Zürich,"The room isThe largest of the 4.5 room apartment with 2 other roommates is facing the street. Delivery time can vary, we always meet our foldmates as much as possible :)",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--1280-zurich-stadt/pictureLarge/roomPicture.png,Dieter and Andy,We are looking for someone for a residential community and not for a purpose community. A roommate on a long-term basis with no purpose-sharing thoughts.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--1280-zurich-stadt.html
Starting from 1.10.2017,Until 31.12.2017 (verhandelbar),Monthly rent sFr. 700.-,State Zurich (City),Address Hegibachstr. 51,City 8032 Zürich,"The room isca. 10 m2 large, fully furnished, is cleared (by arrangement). Kitchen and bathroom are shared with roommates. Floor / cellar compartment, laundry room and large, sunny terrace! ☀️",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-31-12-2017--verhandelbar--700-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-31-12-2017--verhandelbar--700-zurich-stadt/pictureLarge3/roomPicture3.png,"A nursing assistant and an animation film ... We work at irregular times, but are glad to have a chat / afternoon / night, if it is!",a person somewhere between self-breeder and partynudel;),http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-31-12-2017--verhandelbar--700-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 1'000.-,State Zurich (City),Address Sellenbueren 55,City 8143  Stallikon,"The room isThere are 2 separate rooms, both 12 and 18sqm The apartment also has a spa with whirlpool, sauna, solarium, and relaxation area","I am IT Manager, and if I am not on the PC and plan projects, then I am on the lake or am cooking :)","Just you maybe No matter whether man or woman, but you should definitely be easy on it, I do not want to make a purpose WG. cook together or sit with a glass of red wine or whiskey on the terrace.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--999-zurich-stadt.html
Starting from 15.10.2017,Until No time restrictions,Monthly rent sFr. 443.-,State Zurich (City),Address Seebahnstrasse,City 8004 Zürich,The room isca. 16sqm large with private balcony and is located in a 4-room apartment.,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/15-10-2017--443-zurich-stadt/pictureLarge/roomPicture.png,"Only (25), Jasmin (27) and Tobias (29) About us: We are not a pure purpose flat share, but also no sworn family. Basically, we all have our own life, but we are happy in the evening together in the kitchen to smoke a Zigi. If you are interested in the room, write us a mail and briefly introduce yourself in one or two sentences (age, what do you do etc.).","So the usual, so nice, uncomplicated and clean. You prefer to party at the Langstrasse than with us in the apartment. IMPORTANT: You must meet the JUWO criteria!",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-10-2017--443-zurich-stadt.html
Starting from 1.2.2018,Until No time restrictions,Monthly rent sFr. 990.-,State Zurich (City),Address Limmattalstrasse,City 8049 zurich,"The room isA superheldenbehausung is rustically cozy and 16m² large. There is a large window with a morning sun, as well as a storage cabinet and a storage room. The entire Superheldenlager covers 8.5 rooms and is spread over two floors. Below is a very cozy living room with TV and fireplace, where all superhero meetings take place (pssst ... of course secret) - a ""creative playroom"" for planning secret missions, making music (piano), head - Tailor's work (work table and sewing machine) the reality flurry (Playstation 4 and Wii U) - a kitchen in which energizing meals can be conjured for rescue actions. - a dining lounge with a chilli box and a small balcony. We also have a washing machine and a tumbler in the basement which we can use at any time without washing plan. There is also a cellar compartment and a loft for sharing. The room rate includes TV and internet, recycling and our cleaning service (every two weeks). Once a treasure chest full of coins (deposit) to the value of about 2x monthly rent.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-2-2018--990-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-2-2018--990-zurich-stadt0/pictureLarge3/roomPicture3.png,"We are We are four different professional creatures, between 25 and 32 years young, who on the other hand like to move around the houses, but also like to go through their own things. We like to visit (our camp is big enough), but we also have a lot of time for us.","As our fifth member leaves our league of exceptional village rots, we are looking for a new comrade to close this gap. If you enjoy life, you are not always very serious, cuddly, talkative, uncomplicated and humorous, and sometimes save a few catbabies from burning houses, then you are in the right place. We are looking for a superhelden, who will complement our team in the long term and will not fly again after a few months. To get the balance of power, we prefer a male being. If you believe that your superpowers are going to complement our community, then get rid of your mailbox, which will bring us your personal (!) Message.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-2-2018--990-zurich-stadt0.html
Starting from 21.9.2017,Until Ende September oder Oktober 2018,Monthly rent sFr. 1'220.-,State Zurich (City),Address Luggwegstrasse 133,City 8048 Zuerich,"The room isDat we do not need our present apartment, we rent from now or 01st October a 2 room apartment for the end of September or October 2018. 1 bedroom, 1 living room with balcony, kitchen and WC with bath. The apartment is freshly renovated since August 2017 and is unused. Since the apartment is still unused, the whole apartment is unmoebiliert Outside parking space can be rented. But it has many blue zones. Rent per month: 1226  For further questions, I am gladly available",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-ende-september-oder-oktober-2018-1220-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-ende-september-oder-oktober-2018-1220-zurich-stadt/pictureLarge3/roomPicture3.png,Since we do not need our apartment until the end of September or October 2018. Can be rented the entire apartment.,"We are looking for a clean, caring owner or landlady. No pets and no pets. Otherwise, we are open.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/21-9-2017-ende-september-oder-oktober-2018-1220-zurich-stadt.html
Starting from 2.10.2017,Until No time restrictions,Monthly rent sFr. 1'430.-,State Zurich (City),Address Clausiusstrasse 66,City 8006 Zurich,"The room is the room is19m2 in a shared flat with two other young workers. The apartment is 126 m2, renewed in 2014, it has two bathrooms, washing machine, dish washer, dryer, small balcony, living room and big kitchen. It is on the first floor in a quiet neighbourhood with chill neighbours. Cleaning lady is on a regular basis and is regularly hired. I will sell all the furniture besides the bed. The tram stops are Haldenegg or Haldenbach. Entry date is Flexible",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/2-10-2017--1430-zurich-stadt/pictureLarge/roomPicture.png,"One Italian and French guy, into sports and enjoying eating well","Guy or Girl, working, PHD, non-smoker",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/2-10-2017--1430-zurich-stadt.html
Starting from 1.10.2017,Until Mitte November (evt. Verlängerung),Monthly rent sFr. 720.-,State Zurich (City),"Address Birmensdorferstrasse, 427",City 8055 Zürich,"The room isCirca 18 m2, with view of the Üetliberg and stylishly furnished :) Costs 720 .- incl. Internet and all additional costs. ------  The room is approx. 18 m2, fully furnished with nice furniture. The rent is 720.- per month including all bills.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-mitte-november--evt--verl-ngerung--720-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-mitte-november--evt--verl-ngerung--720-zurich-stadt/pictureLarge3/roomPicture3.png,"Nathalie (26), biologist at the Master's degree. Mike (23), an architecture student, has just completed an internship. Mike does not (yet) speak German, so it would be great if you speak English well! -------------  Nathalie (26), post-grad biology student. Mike (23), architecture student, currently doing an internship in Zurich.","We would be happy about a clean and pleasant contemporary, with whom you can also end an evening on our balcony. We look forward to you! ----------------------------------------------- We are looking for a nice and clean flatmate in the evenings. We are looking forward to meet you!",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-mitte-november--evt--verl-ngerung--720-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 1'350.-,State Zurich (City),Address Freigutstrasse 6,City 8002 Zürich,"The room isThe room is approximately 16sqm in size and is rented partially furnished (bed, wardrobe, table). It also has a private bathroom with a bathtub. The apartment has a spacious living room and a large balcony, which is available for sharing.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1350-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1350-zurich-stadt0/pictureLarge3/roomPicture3.png,"We are a couple and study both at the University of Zurich. Since we have to learn a lot and we still work, we appreciate a quiet community. Besides, we are both non-smokers.","We are looking for a nice, neat new roommate, which is preferred weeks residence. For weeks stay the price is negotiable.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1350-zurich-stadt0.html
Starting from 30.9.2017,Until 30.10.2017,Monthly rent sFr. 1'500.-,State Zurich (City),Address R,City 8049  Zurich,"The room is 2-room apartment flat 10 is looking for a temporary tenant for the month of October  A modern, refurbished and furnished 2-room flat (47 smq) with open kitchen as well as a beautiful balcony with a nice view and lots of sun. A washing machine, tumbler and dishwasher are available. This flat is perfect for a person who likes to be in Zurich for a short stay or just need an interim flat. Please do not hesitate to contact me if you have any questions.  The area is very quiet and safe, but located at: main station 15-20 minutes, 10 minutes to Escher-Wyss-Place; the bus station is 2 minutes away by walk, the tram station is 5 minutes away by walk. Parking possibilities available. Many shops close by within 5 minutes walk: Coop, Migros, Pharmacy, Post Office, etc. The River Limmat is appr. 5-10 minutes walk away for a nice walk or walk. There is also an indoor swimming pool in 5-10 minutes by walk.  Please send me a message.  ---- Modern, newly renovated furnished 2-room apartment (47 sqm) with open kitchen and very nice balcony as well as great view to rent from 30.09. until 30.10.2017. Washing machine, dryer and dishwasher. You are usually a quiet personality, who is in the short term in Zurich or someone who is looking for a transition solution. Attention: no students, only non-smokers, no animals, no parties.  Very quiet residential area, but centrally located: to the HB 15-20 min., 10 min. To the Escher-Wyssplatz, bus stop in 2 minutes walking time, tram stop 5 min.walking time, next parking space: blue zone or by arrangement an outdoor parking space. Nearest shops: 5 minutes: Coop, Migros, pharmacy etc. Limmat to jog 5 minutes walk away.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/30-9-2017-30-10-2017-1500-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/30-9-2017-30-10-2017-1500-zurich-stadt/pictureLarge3/roomPicture3.png,a nice landlady / a friendly landlady,1 quiet person for subletting a 2 room flat / a quiet professional person for sub-rent in 2 rooms apartment,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/30-9-2017-30-10-2017-1500-zurich-stadt.html
Starting from 30.9.2017,"Until Monday, October 23rd",Monthly rent sFr. 670.-,State Zurich (City),Address Berninastr. 127,City 8057 Zürich,"The room isTEMPORARY, FOR 3 WEEKS ONLY! I can not wait to go back to this hotel for a bit more than 3 weeks, from Saturday, 30th of September to Monday, 23rd of October. The room is 20m2 and part of a 4-person flatshare.","TEMPORARY, FOR 3 WEEKS ONLY! You will be part of a 4-person flatshare with 3 adorable roomies (f, f, m) in your mid-twenties, a student of psychology as well as a meteorologist and a finance intern. please contact me by email so we can set up a visit date or - if you are abroad - a skype session.","TEMPORARY, FOR 3 WEEKS ONLY! A nice, clean and tidy person (m / f) who is not afraid of animals, since there is a terrarium with an Australian lizard (pogona vitticeps) in the room. They will be fed by someone from the WG about every third day.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/30-9-2017-monday--october-23rd-670-zurich-stadt.html
Starting from 1.12.2017,Until 10.01.2018,Monthly rent sFr. 700.-,State Zurich (City),Address Buchzelgstrasse 34,City 8053 Zürich,"The room is 10.5 m2 (2.50 x 4.20), quiet, only furnished with one bed, should not be a problem with this short rental period. For writing, you can use the dining table.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-12-2017-10-01-2018-700-zurich-stadt/pictureLarge/roomPicture.png,"I am 26, male, Swiss and work in shift service. Therefore, I often can not celebrate the classic flat-board life, I go after my work and you yours. In between, we can see each other and can chat, cook, eat, play PS4 etc. If you are new to Zurich, I like to explain to you how it is so here;)","A reliable, clean person as a short stay",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-12-2017-10-01-2018-700-zurich-stadt.html
Starting from 1.11.2017,Until No time restrictions,Monthly rent sFr. 1'400.-,State Zurich (City),Address Birchlenstrasse 61,City 8600 Dübendorf,"The room isThe apartment is about 70 m2 large, it has 2 bedrooms, a large living room, separate kitchen, bathroom and a balcony. The apartment was freshly painted in 2016. It is very quiet. The train station Stettbach is within walking distance from where you can get good connections to the city (8min) and to the universities (Irchel 15 min, ETH Höngg 30 min, ETH center 25 min).  The apartment is vacant from 1.11.2017.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1400-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1400-zurich-stadt/pictureLarge3/roomPicture3.png,We leave.,A nightmare for the entire apartment.,http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-11-2017--1400-zurich-stadt.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 700.-,State Zurich (City),Address Brahmsstrasse 34,City 8003 Zürich,"The room isWonderful bright room 16m ^ 2 with private balcony and large window front. The room is part of a 3-room apartment with a spacious living room with a 2nd big balcony, where we like BBQs in the summer or a beer,",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--700-zurich-stadt2/pictureLarge/roomPicture.png,"open minded and like cooking together, watching movies and drinking a beer. We have both completed our studies and are currently doing an internship.","someone who meets the JUWO criteria and is tidy. You are social, like to cook together and you are at least 23 years old, then we would like to get to know you.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--700-zurich-stadt2.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 1'013.-,State Zurich (City),Address Gutstrasse 159,City 8047 Zürich,"The room isca. 15m2, with an impressive window front to a continuous courtyard and a view of the Uetliberg. The apartment is located on the first floor of a modern building with a modern kitchen, a bathroom with shower, WC ... own washhouse in the apartment ... cellar compartment ... small winter garden ... The rent is monthly 1013 CHF (without electricity and Inet) 3 months rent as security deposit are mandatory. Contact: If you are interested, please contact gutstrassenwg@gmail.com with a description of yourself and what you are doing in your spare time and professionally / studientechnisch.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1013-zurich-stadt0/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1013-zurich-stadt0/pictureLarge3/roomPicture3.png,"Silvan, 28 years old, is an actor and coach and Alex, also a 28 years old, works as a restorer","As a substitute for our roommate, we are looking for a successor to our WG; reliable, open and between 20 and 30 years. You do not have to have a cleaning problem, but neatness and cleanliness should not be foreign words for you. If you want to have two nice uncomplicated roommates and want to enhance our premises with your presence, then do not touch the keyboard to tell us a bit about you.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017--1013-zurich-stadt0.html
Starting from 1.10.2017,Until No time restrictions,Monthly rent sFr. 750.-,State Zurich (City),Address Seebahnstrasse,City 8003 Zurich,"The room isWir, Tonja (architect, 31) and Pascale (photographer, 32) are looking for a new roommate for our cozy home from 1 October. The apartment is located on the Seebahnstrasse at the gas station. Your room is large, has a high ceiling decorated with stucco, parquet and has its own balcony. Until the end of the year you have your room and look forward to an extension. In addition, we have a second balcony in our large dining room, where the French doors open late in the evening. We are on the road a lot, but we also enjoy sitting together in the living room watching a movie and drinking a glass of wine.","We, Tonja (architect, 31) and Pascale (photographer, 32). We are on the road a lot, but we also enjoy sitting together in the living room watching a movie and drinking a glass of wine. Ideal arrival date is the 1st of October, however, we can discuss the entry and exit dates and whether furnished or unfurnished in case again.  We look forward to your message :)  Tonja and Pascale  Ps: Photo of the room follows!",A nice new roommate :),http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/1-10-2017-ende-des-jahres--moeglichkeit-auf-verlaengerung-750-zurich-stadt.html
Starting from 15.9.2017,Until No time restrictions,Monthly rent sFr. 950.-,State Zurich (City),"Address 224, Altstetterstrasse",City 8048 Zurich,"The hotel is located in the center of the old town, close to the railway station and the train station. Its a 4.5 room brightly lit apartment with massive living room, well equipped kitchen, 2 separate toilets, bathroom and a big balcony. There are a lot of common cupboards which can be used for keeping shoes, winter clothes, etc. The room is the largest of the 3 sleeping rooms of size 17 m ^ 2 with big windows facing a small garden which is quire peaceful. The apartment is on the 2nd floor. Neighbors are extremely friendly and understanding which makes it a pleasant place to live in. The person taking over the room will be ""tenant"" as ""tenant"" and will also be sharing the responsibilities with the other two flatmates. There is a 3 month deposit amount which is 1 / 3rd of the total deposit of the house.",https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--865-zurich-stadt/pictureLarge/roomPicture.png,https://www.wgzimmer.ch/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--865-zurich-stadt/pictureLarge3/roomPicture3.png,"We are 2 guys - 25 and 31 years old from Poland and Slovakia who has been living in Zurich over the last 5 years. We work in the finance industry and are very fond of different sports, culinary habits, and other hobbies. We are very uncomplicated people, who are not at all interested in any other way of life.","We are looking for a man who is looking for a man who is looking for a man. Besides this, as we are both international, we bring in different cultural and organization ways to live in harmony with each other, enjoying the fine times and sharing some cool moments together. We are looking forward to hearing from you. If this is your first visit, be sure to check out the FAQ by clicking the link above. You may have to register before you can post: click the register link above to proceed and we will invite you for a viewing.  Please note that this is not the case. ""B"" ID and above are preferred from their side.",http://www.wgzimmer.ch/en/wgzimmer/search/mate/ch/zurich-stadt/15-9-2017--865-zurich-stadt.html
